"","x"
"D_0",19.2748552010125
"E_K",46.629562470707
"E_d",70.3416424204384
"E_V",83.592709944366
"f_CD_bf",0.0210764869474529
"f_CD_mz",0.00123202796461114
"f_CE_bf",0.00460082179278186
"f_CE_mz",0.00490581651990729
"f_CM_bf",0.0492714758412969
"f_CM_mz",0.00041982214191354
"f_ep",0.00986145638046592
"f_gr_ref",0.808629211934797
"f_mr",0.111342922531621
"K_D_ref",185896.988856156
"K_U_ref",22.9138632949216
"psi_Rth",14097.3408736224
"r_ed_ref",0.000242129769864199
"r_md_ref",0.000408959290939184
"V_D_mz",0.194954631622589
"V_D_bf",0.271440112897844
"V_U_ref",1.64728121261298
