sample,site,repetition,field_plot,sample,moist_grav,om_init,om_init_sd,dw_init
1,bare_fallow,a,22,61,1,6.3,0.3,186.2
2,bare_fallow,b,30,62,1,6.3,0.3,182.2
3,bare_fallow,c,32,63,1,6.3,0.3,178.8
4,bare_fallow,a,22,51,3,6.3,0.3,90
5,bare_fallow,b,30,26,4.8,6.3,0.3,90
6,bare_fallow,c,32,27,5.1,6.3,0.3,90
7,bare_fallow,a,22,52,7,6.3,0.3,90
8,bare_fallow,b,30,21,7,6.3,0.3,90
9,bare_fallow,c,32,23,7,6.3,0.3,90
10,bare_fallow,a,22,53,9,6.3,0.3,90
11,bare_fallow,b,30,28,9,6.3,0.3,90
12,bare_fallow,c,32,22,9,6.3,0.3,90
13,bare_fallow,a,22,54,11,6.3,0.3,90
14,bare_fallow,b,30,29,11,6.3,0.3,90
15,bare_fallow,c,32,25,11,6.3,0.3,90
16,bare_fallow,a,22,55,12,6.3,0.3,90
17,bare_fallow,b,30,30,12,6.3,0.3,90
18,bare_fallow,c,32,31,12,6.3,0.3,90
19,bare_fallow,a,22,56,13,6.3,0.3,90
20,bare_fallow,b,30,24,13,6.3,0.3,90
21,bare_fallow,c,32,32,13,6.3,0.3,90
22,bare_fallow,a,22,57,15,6.3,0.3,90
23,bare_fallow,b,30,34,15,6.3,0.3,90
25,bare_fallow,a,22,58,17,6.3,0.3,90
26,bare_fallow,b,30,35,17,6.3,0.3,90
27,bare_fallow,c,32,39,17,6.3,0.3,90
28,bare_fallow,a,22,59,19,6.3,0.3,90
29,bare_fallow,b,30,33,19,6.3,0.3,90
30,bare_fallow,c,32,38,19,6.3,0.3,90
31,bare_fallow,a,22,60,21,6.3,0.3,90
32,bare_fallow,b,30,36,21,6.3,0.3,90
33,bare_fallow,c,32,37,21,6.3,0.3,90
34,maize,a,1,64,1,12.9,0.3,168.5
35,maize,b,2,65,1,12.9,0.3,171.4
37,maize,c,3,41,3,12.9,0.3,90
38,maize,a,1,10,6.3,12.9,0.3,90
40,maize,a,1,2,7,12.9,0.3,90
41,maize,b,2,6,7,12.9,0.3,90
42,maize,c,3,42,7,12.9,0.3,90
43,maize,a,1,1,9,12.9,0.3,90
44,maize,b,2,7,9,12.9,0.3,90
45,maize,c,3,43,9,12.9,0.3,90
46,maize,a,1,9,11,12.9,0.3,90
47,maize,b,2,5,11,12.9,0.3,90
48,maize,c,3,44,11,12.9,0.3,90
49,maize,a,1,4,13,12.9,0.3,90
50,maize,b,2,3,13,12.9,0.3,90
51,maize,c,3,45,13,12.9,0.3,90
52,maize,a,1,17,15,12.9,0.3,90
53,maize,b,2,19,15,12.9,0.3,90
54,maize,c,3,46,15,12.9,0.3,90
55,maize,a,1,15,17,12.9,0.3,90
56,maize,b,2,16,17,12.9,0.3,90
57,maize,c,3,47,17,12.9,0.3,90
58,maize,a,1,13,19,12.9,0.3,90
59,maize,b,2,14,19,12.9,0.3,90
60,maize,c,3,48,19,12.9,0.3,90
61,maize,a,1,8,21,12.9,0.3,90
62,maize,b,2,11,21,12.9,0.3,90
63,maize,c,3,49,21,12.9,0.3,90
64,maize,a,1,18,25,12.9,0.3,90
65,maize,b,2,20,25,12.9,0.3,90
66,maize,c,3,50,25,12.9,0.3,90
